id,title,validation_mode,experience,lesson_header,description,task,dialogue_id,lesson_example,starting_code,requirements,expected_output,created_at,grants,programming_language_id,achievements_id,updated_at,order_index,map_id,dialogue,base_html,quest_type,hints
11,Comparison,multi_objective,100,🐍 Python (Comparison Operators),"Comparison allows you to measure the land…

To judge what is greater, smaller, equal… or not equal.

In Codemania, nothing moves without comparison.

You have learned how to store numbers.
You have learned how to receive input from the world.

Now it is time to compare them.

The > operator checks if one value is greater than another.

It returns a Boolean value:

True

or False

But remember…

When using input(), the value is returned as text.

To compare numbers properly, you must convert them using:

int()


Only then can the truth be revealed.","Challenge Time, Adventurer!

1. Ask the user to enter two numbers.

2. Convert both inputs into integers.

3. Compare the first number to the second using the > operator.

4. Print the result of the comparison.

Let Codemania decide which number is greater!

Gyahahaha!",11,"Challenge Time, Adventurer!

1. Ask the user to enter two numbers.

2. Convert both inputs into integers.

3. Compare the first number to the second using the > operator.

4. Print the result of the comparison.

Let Codemania decide which number is greater!

Gyahahaha!",# PUT YOUR CODE BELOW,"{""objectives"":[{""id"":""uses_input"",""type"":""code_contains"",""label"":""Use input() to get numbers"",""value"":""input""},{""id"":""uses_int_conversion"",""type"":""code_regex"",""label"":""Convert input using int()"",""value"":""\\bint\\s*\\(""},{""id"":""uses_comparison_operator"",""type"":""code_contains"",""label"":""Use greater than operator (>)"",""value"":"">""},{""id"":""uses_print"",""type"":""min_print_count"",""label"":""Print the comparison result"",""value"":1}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,key,1,,,11,map11,"[{""text"":""Comparison allows you to measure the land, to judge what is larger, smaller, equal, or different."",""speaker"":""npc""},{""text"":""The world of Codemania is built on comparison."",""speaker"":""npc""},{""text"":""What’s greater? What’s equal? These answers will guide you through the challenges ahead."",""speaker"":""npc""}]",,cli,"{""concept"":""Comparisons return booleans."",""structure"":""Read number, convert to int, compare with >, print result."",""nearSolution"":""Put a greater-than expression inside print(...).""}"
12,Logical Operators,multi_objective,100,🐍 Python (Logical Operators),"Combining conditions…
Now that is true power.

You have learned how to compare values.
You have learned how to use if statements.

But what if one condition is not enough?

What if you must check multiple truths at once?

That is where logical operators come in.

Python gives you three powerful tools:

and → True if both conditions are True

or → True if at least one condition is True

not → Reverses a Boolean value

Example:

a = True
b = False

print(a and b)


This will print:

False


Because both conditions are not True.

Logical operators allow you to combine decisions…
and shape the fate of Codemania itself.","Challenge Time, Adventurer!

1. Create two Boolean variables.

2. Assign one to True and the other to False.

3. Use a logical operator to combine them.

4. Print the result of the logical expression.

Choose wisely.

Gyahahaha!",12,"Challenge Time, Adventurer!

1. Create two Boolean variables.

2. Assign one to True and the other to False.

3. Use a logical operator to combine them.

4. Print the result of the logical expression.

Choose wisely.

Gyahahaha!",# PUT YOUR CODE BELOW,"{""objectives"":[{""id"":""uses_boolean_assignment"",""type"":""code_regex"",""label"":""Assign True or False to variables"",""value"":""\\b(True|False)\\b""},{""id"":""uses_logical_operator"",""type"":""code_regex"",""label"":""Use and, or, or not"",""value"":""\\b(and|or|not)\\b""},{""id"":""uses_print"",""type"":""code_contains"",""label"":""Use print()"",""value"":""print""},{""id"":""prints_logical_expression"",""type"":""code_regex"",""label"":""Print logical expression"",""value"":""print\\s*\\(.*(and|or|not).*\\)""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,,1,14,,12,map12,"[{""text"":""Combining conditions is a powerful skill."",""speaker"":""npc""},{""text"":""Use logical operators like ‘and’, ‘or’, and ‘not’ to test multiple things at once."",""speaker"":""npc""},{""text"":""This will allow you to face more complex situations. Will you combine your conditions wisely?"",""speaker"":""npc""}]",,cli,"{""concept"":""Logical operators combine boolean conditions."",""structure"":""Create boolean vars, use and/or/not in an expression, print it."",""nearSolution"":""Include one of and, or, not directly in the printed expression.""}"
13,For Loops,multi_objective,100,🐍 Python (For Loops),"Repeating actions…
That is where true power begins.

Until now, your code ran once… and only once.

But what if you need to perform an action multiple times?

That is where the for loop comes in.

A for loop allows you to repeat a block of code
a specific number of times.

It often works together with the range() function.

Example:

for i in range(3):
    print(i)


This will print:

0
1
2


Why?

Because range(3) generates the numbers:

0, 1, 2

And the loop runs once for each number.

Notice carefully:

The keyword for

The word in

The function range()

The colon :

The indentation

These are the laws of repetition.","Challenge Time, Adventurer!

Use a for loop to print the numbers from 0 to 2.

You must:

1. Use a for loop

2. Use range()

3. Print the number inside the loop

Harness the power of repetition!",13,"Challenge Time, Adventurer!

Use a for loop to print the numbers from 0 to 2.

You must:

1. Use a for loop

2. Use range()

3. Print the number inside the loop

Harness the power of repetition!",# PUT YOUR CODE BELOW,"{""objectives"":[{""id"":""uses_for"",""type"":""code_contains"",""label"":""Use for loop"",""value"":""for""},{""id"":""uses_range"",""type"":""code_contains"",""label"":""Use range() function"",""value"":""range""},{""id"":""uses_print"",""type"":""code_contains"",""label"":""Use print() inside loop"",""value"":""print""},{""id"":""prints_correct_output"",""type"":""output_equals"",""label"":""Print numbers 0 to 2"",""value"":""0\n1\n2""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,key,1,,,13,map13,"[{""text"":""Repeating actions is the essence of power in Codemania."",""speaker"":""npc""},{""text"":""With a `for` loop, you can repeat tasks as many times as you need. The more you repeat, the stronger you get."",""speaker"":""npc""},{""text"":""Use this power to iterate through tasks and regain your strength."",""speaker"":""npc""}]",,cli,"{""concept"":""for + range generates repeated sequence output."",""structure"":""Loop with for and range, print loop variable each iteration."",""nearSolution"":""Use range so output is exactly: 0, 1, 2 on separate lines.""}"
14,While Loops,multi_objective,100,🐍 Python (While Loops),"The for loop repeats a known number of times…

But what if you do not know how many times something should run?

What if repetition depends on a condition?

That is where the while loop rises.

A while loop continues running
as long as a condition is True.

Example:

count = 0

while count < 3:
    print(count)
    count += 1


This will print:

0
1
2


Notice carefully:

A starting variable (count = 0)

A condition (count < 3)

A colon :

Indentation

Updating the variable (count += 1)

Without updating the variable…
the loop will never stop.

And Codemania will fall into infinite chaos.

Gyahahaha!","Challenge Time, Adventurer!

Use a while loop to print the numbers from 0 to 2.

You must:

1. Create a counter variable

2. Use a while condition

3. Print the counter

4. Increment the counter inside the loop

Control the repetition wisely.",14,"Challenge Time, Adventurer!

Use a while loop to print the numbers from 0 to 2.

You must:

1. Create a counter variable

2. Use a while condition

3. Print the counter

4. Increment the counter inside the loop

Control the repetition wisely.",# PUT YOUR CODE BELOW,"{""objectives"":[{""id"":""uses_assignment"",""type"":""code_contains"",""label"":""Initialize a counter variable"",""value"":""=""},{""id"":""uses_while"",""type"":""code_contains"",""label"":""Use while loop"",""value"":""while""},{""id"":""uses_condition"",""type"":""code_regex"",""label"":""Use comparison in while condition"",""value"":""while\\s+.*<\\s*3""},{""id"":""uses_increment"",""type"":""code_regex"",""label"":""Increment counter inside loop"",""value"":""\\+=\\s*1""},{""id"":""prints_correct_output"",""type"":""output_equals"",""label"":""Print numbers 0 to 2"",""value"":""0\n1\n2""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,,1,,,14,map14,"[{""text"":""What if you need to keep repeating an action, but only as long as a condition is true?"",""speaker"":""npc""},{""text"":""The while loop will help you do just that."",""speaker"":""npc""},{""text"":""This skill will be crucial in your journey, as some challenges won’t be solved with a single step."",""speaker"":""npc""}]",,cli,"{""concept"":""while loops need initialization, condition, and increment."",""structure"":""Set counter to 0, loop while < 3, print counter, increment by 1."",""nearSolution"":""Use += 1 and ensure output is exactly 0, 1, 2 on separate lines.""}"
15,Range Function,multi_objective,100,🐍 Python (Range Function),"You have learned that range() can control where a loop starts and stops.

But what if you don’t want to move one step at a time?

What if you want to move faster?

The range() function can take three arguments:

range(start, stop, step)


start → where the loop begins

stop → where it ends (exclusive)

step → how much it increases each time

Example:

for i in range(1, 6, 2):
    print(i)


This prints:

1
3
5


Notice…

It skips every second number.

This is called the step value.

With this, you control not only where you begin and end…
but how you move.

Powerful, isn’t it?

Gyahahaha!","Challenge Time, Adventurer! 

Use a for loop with range() to print the even numbers from 2 to 10.

You must:

1. Use for

2. Use range(start, stop, step)

3. Start at 2

4. Stop at 11

5. Step by 2

6. Print inside the loop

Precision is power.

✅ Expected Output
2
4
6
8
10",15,"Challenge Time, Adventurer! 

Use a for loop with range() to print the even numbers from 2 to 10.

You must:

1. Use for

2. Use range(start, stop, step)

3. Start at 2

4. Stop at 11

5. Step by 2

6. Print inside the loop

Precision is power.

✅ Expected Output
2
4
6
8
10",# PUT YOUR CODE BELOW,"{""objectives"":[{""id"":""uses_for"",""type"":""code_contains"",""label"":""Use for loop"",""value"":""for""},{""id"":""uses_range_with_step"",""type"":""code_regex"",""label"":""Use range(2, 11, 2)"",""value"":""range\\s*\\(\\s*2\\s*,\\s*11\\s*,\\s*2\\s*\\)""},{""id"":""uses_print"",""type"":""code_contains"",""label"":""Use print()"",""value"":""print""},{""id"":""correct_output"",""type"":""output_equals"",""label"":""Print even numbers from 2 to 10"",""value"":""2\n4\n6\n8\n10""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,,1,,,15,map15,"[{""text"":""Sometimes, the range of possibilities is vast."",""speaker"":""npc""},{""text"":""The range function helps you loop through sequences—whether it’s from 0 to 10, or any other span."",""speaker"":""npc""},{""text"":""Master this skill, and you can move through Codemania’s challenges with precision."",""speaker"":""npc""}]",,cli,"{""concept"":""range can use start, stop, and step."",""structure"":""Use for loop with range(2, 11, 2), print each value."",""nearSolution"":""Output must be even numbers 2 to 10, one per line.""}"
16,Nested Loops,muti_objective,100,🐍 Python (Nested Loops),"Sometimes… one loop is not enough.

What if you must repeat something…
and inside that repetition,
repeat something else again?

That is where nested loops come in.

A nested loop is simply:

A loop inside another loop.

The inner loop completes all its iterations
for every single iteration of the outer loop.

Example:

for i in range(2):
    for j in range(2):
        print(i, j)


Let’s break it down:

Outer loop runs with i = 0

Inner loop runs fully (j = 0, j = 1)

Then outer loop moves to i = 1

Inner loop runs fully again

Output:

0 0
0 1
1 0
1 1


The outer loop controls rows.
The inner loop controls columns.

This is how grids, combinations, and patterns are built.

Powerful… isn’t it?

Gyahahaha!","Challenge Time, Adventurer!

Use nested for loops to print the following pattern:

***
***
***


You must:

1. Use one for loop inside another

2. Use range(3)

3. Print stars (*)

4. Use end="""" to avoid automatic new lines

5. Print a new line after each row

Build the structure correctly.

✅ Expected Output
***
***
***",16,"Challenge Time, Adventurer!

Use nested for loops to print the following pattern:

***
***
***


You must:

1. Use one for loop inside another

2. Use range(3)

3. Print stars (*)

4. Use end="""" to avoid automatic new lines

5. Print a new line after each row

Build the structure correctly.

✅ Expected Output
***
***
***",# PUT YOUR CODE BELOW,"{""objectives"":[{""id"":""uses_nested_for"",""type"":""code_regex"",""label"":""Use nested for loops"",""value"":""for[\\s\\S]*:\\s*\\n\\s+for""},{""id"":""uses_range_three"",""type"":""code_regex"",""label"":""Use range(3)"",""value"":""range\\s*\\(\\s*3\\s*\\)""},{""id"":""prints_star"",""type"":""code_regex"",""label"":""Print '*' character"",""value"":""print\\s*\\(\\s*['\\\""]\\*['\\\""]""},{""id"":""uses_end_parameter"",""type"":""code_regex"",""label"":""Use end=\""\"" in inner print"",""value"":""end\\s*=\\s*['\\\""]['\\\""]""},{""id"":""prints_newline"",""type"":""code_regex"",""label"":""Print newline after each row"",""value"":""print\\s*\\(\\s*\\)""},{""id"":""correct_output"",""type"":""output_equals"",""label"":""Output must match 3x3 star pattern"",""value"":""***\n***\n***""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,,1,13,,16,map16,"[{""text"":""Sometimes, you’ll need to loop through multiple layers of logic."",""speaker"":""npc""},{""text"":""That’s where nested loops come in—loops within loops."",""speaker"":""npc""},{""text"":""It’s a powerful technique for solving complex problems that require multiple steps at once."",""speaker"":""npc""}]",,cli,"{""concept"":""Nested loops build row/column patterns."",""structure"":""Outer loop for rows, inner loop prints * with end=\\\""\\\"", then newline print()."",""nearSolution"":""Use two for loops with range(3) and produce exactly a 3x3 star block.""}"
17,The Program,multi_objective,100,💻 C++ (The Program),"Every C++ program follows a specific structure so the compiler knows how to build and run it.

Look at that example code on the editor adventurer.

In line 1: #include <iostream> is a header file library to handle the input and output object, such as cout in line 5.

The line 2: using namespace std; lets us write cout instead of std::cout and we can use names for objects and variables from the standard library.

Every C++ program must have a int main() in line 3. 
It is called a function and any code inside its curly brackets {} is where execution begins.

Lint 4: cout is an object used together with the insertion operator << to output or print text. In our example, it will output ""Hello adventurer!""

The statement return 0; in line 5 tells the main function ends. 

Understanding these parts is important because all C++ programs are built on this structure.","Note:
C++ is case-sensitive: ""cout"" and ""Cout"" has different meaning.
Every C++ statement ends with a semicolon ;.",17,"Note:
C++ is case-sensitive: ""cout"" and ""Cout"" has different meaning.
Every C++ statement ends with a semicolon ;.","#include <iostream>
using namespace std;
int main() {
    cout << ""Hello adventurer!"" << endl;
    return 0;
}

// PRESS THE RUN BUTTON","{""objectives"":[{""id"":""must_include_iostream"",""type"":""code_contains"",""label"":""Code must include iostream"",""value"":""iostream""},{""id"":""must_include_cout"",""type"":""code_contains"",""label"":""Code must include cout"",""value"":""cout""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,,2,,2026-02-23 05:44:55.116+00,1,map1,"[{""text"":""Welcome to C++ City, a-adventurer..."",""speaker"":""npc""},{""text"":""You walk through streets built from logic and light. The air hums with unseen code."",""speaker"":""npc""},{""text"":""You're searching for something... but you don't remember what."",""speaker"":""npc""},{""text"":""...Wait."",""speaker"":""npc""},{""text"":""WHAAAT?! A-AMNESIA?!"",""speaker"":""npc""},{""text"":""The Master of Application Development... has forgotten everything?"",""speaker"":""npc""},{""text"":""This entire city runs on your code!"",""speaker"":""npc""},{""text"":""Without you, it will fall into chaos."",""speaker"":""npc""},{""text"":""...Alright. Then we rebuild your memory."",""speaker"":""npc""},{""text"":""Line by line."",""speaker"":""npc""},{""text"":""Time to write your first program."",""speaker"":""npc""}]",,cli,"{""concept"":""Basic C++ output requires the iostream library and cout."",""structure"":""Include the header, then print text using cout."",""nearSolution"":""Use #include <iostream> and at least one cout << ...; line.""}"
18,Basic Output,multi_objective,100,💻 C++ (Basic Output),"Do you still remember you first quest?

Let's have a short recap.

#include <iostream> 
Is a header file library to handle input and output objects in our program.

using namespace std 
So we can use names for objects and variables from the standard library.

int main()
Is a function for executing code inside its curly brackets {}.

cout << 
Is an object with insertion operator << to ouput or print text

Finally, return 0;
To end the main function.

Now it's your turn adventurer!
Give it a try.
Print your favorite food or any thing in your mind.","Print ""Hello Codemania!"" to the console.

Hint:
  Complete the cout statement.
  C++ is case-sensitive.
  Remember to use semicolon ;
  You have to use insertion operator <<",18,"Print ""Hello Codemania!"" to the console.

Hint:
  Complete the cout statement.
  C++ is case-sensitive.
  Remember to use semicolon ;
  You have to use insertion operator <<","// COMPLETE THE PROGRAM BELOW
#include <iostream>
using namespace std;
int main() {
    Cout
    return 0;
}","{""objectives"":[{""id"":""must_include_iostream"",""type"":""code_contains"",""label"":""Code must include iostream"",""value"":""iostream""},{""id"":""must_include_cout"",""type"":""code_contains"",""label"":""Code must include cout"",""value"":""cout""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,,2,,,2,map2,"[{""text"":""Before the city can listen... it must speak."",""speaker"":""npc""},{""text"":""A silent program is a useless one."",""speaker"":""npc""},{""text"":""Project your words onto the screen."",""speaker"":""npc""},{""text"":""Let the world see your code's voice."",""speaker"":""npc""},{""text"":""This is output."",""speaker"":""npc""}]",,cli,"{""concept"":""Start with the same C++ output fundamentals."",""structure"":""Add iostream and use cout to display a message."",""nearSolution"":""Make sure both iostream and cout are present in code.""}"
19,Comments,multi_objective,100,💻 C++ (Comments),"Did you notice this symbol // ? Gyahahaha!

It is called Comments.
Comments are used to explain code and make programs easier to understand.

They are ignored by the compiler and do not affect program execution.

Comments are especially useful when working on larger programs or when code needs to be read by others. 

C++ supports single-line comments using // and multi-line comments using /* */.","// This is a single-line comment
/* This is a multi-line comment */

Look at the code editor adventure! A challenge waiting for you. Gyahahaha!",19,"// This is a single-line comment
/* This is a multi-line comment */

Look at the code editor adventure! A challenge waiting for you. Gyahahaha!","// Write your comment here
#include <iostream>
using namespace std;

Make this a 
multi-line
comment

int main() {
    Make this a single-line comment.
    cout << ""Hello Codemania!"";
    return 0;
}","{""objectives"":[{""id"":""uses_multiline_comment"",""type"":""code_regex"",""label"":""Use a multi-line comment (/* */)"",""value"":""/\\*[\\s\\S]*?\\*/""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,,2,,,3,map3,"[{""text"":""But not every message is for the world."",""speaker"":""npc""},{""text"":""Some are whispers for future developers."",""speaker"":""npc""},{""text"":""Notes in the margins of logic."",""speaker"":""npc""},{""text"":""They do not execute."",""speaker"":""npc""},{""text"":""They guide."",""speaker"":""npc""}]",,cli,"{""concept"":""Multi-line comments in C++ use block comment syntax."",""structure"":""Wrap your comment text between opening and closing markers."",""nearSolution"":""Use /* ... */ with content inside.""}"
20,Basic Input,multi_objective,100,💻 C++ (Basic Input),"You've already learned cout is for output or print.
Let's learn cin now. 

What!? You have a guess what it is for?
Yes, it is use to get user input.

cin reads data from the keyboard with extraction operator >>

Try this:
  int n;
  cout << ""Enter a number:"";
  cin >> n;

Remember what you've learned in your previous adventures.","Here's an exiting challenge for you.
Use everything you've learned make a simple calculator.
The user must input two numbers and print its sum.

Hint:
  Use cout to ask the user to enter a number.
  Use cin to get user input.
  Use cout to print the sun.",20,"Here's an exiting challenge for you.
Use everything you've learned make a simple calculator.
The user must input two numbers and print its sum.

Hint:
  Read and follow comments.
  Use cout to ask the user to enter a number.
  Use cin to get user input.
  Use cout to print the sun.","#include <iostream>
using namespace std;
int main() {
    int x, y;
    int sum;
    // PUT YOUR CODE BELOW

    sum = x + y;
    // PUT THE PRINT FOR THE SUM BELOW

    return 0;
}","{""objectives"":[{""id"":""uses_cin"",""type"":""code_contains"",""label"":""Use cin to receive user input"",""value"":""cin""},{""id"":""uses_cout"",""type"":""code_contains"",""label"":""Use cout to display output"",""value"":""cout""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,,2,20,,4,map4,"[{""text"":""Now the city must respond."",""speaker"":""npc""},{""text"":""Programs do not live alone."",""speaker"":""npc""},{""text"":""They receive. They react."",""speaker"":""npc""},{""text"":""Open the gate for user input."",""speaker"":""npc""},{""text"":""Let the data flow inward."",""speaker"":""npc""}]",,cli,"{""concept"":""C++ input/output uses cin for input and cout for output."",""structure"":""Read a value with cin, then show it with cout."",""nearSolution"":""Include both patterns: cin >> variable; and cout << variable;""}"
21,Variables,multi_objective,100,💻 C++ (Variables),"Congratulations on getting your first badge!

Now we're gonna learn Variables.
Variables are used to store data values in memory.
It has data types that determines what kind of value it holds.

Such as: 
  int - stores integers whole number without decimal.
  double - stores floating point numbers with decimals.
  char - stores single characters. Its values are surrounded by single quotes.
  string - stores text. Its values are surrounded by double quotes.
  bool - stores values with two states: true or false.

Wanna try? You're really an adventurer! Gyahahaha!

Write these on the editor:
  string name = ""Juan"";
  int age = 23;
  double height = 5.4;

  cout << ""Hello, I am "" << name << age "" years old."";
  cout << ""I am "" << height << "" feet tall."";","Challenge time, Adventurer!

Replace the variable name with the name of your pet.
Also the age with your age.
Lastly, instead of directly replacing the value variable height.
Make it as a user input.
Wherein it will print Enter your height: 

The final output should be:
  Hello, I am name age years old.
  Enter your height: height
  Wow! You're height feet tall.

Hint:
Use cin >> and put the variable height before ;",21,"Challenge time, Adventurer!

Replace the variable name with the name of your pet.
Also the age with your age.
Lastly, instead of directly replacing the value variable height.
Make it as a user input.
Wherein it will print Enter your height: 

The final output should be:
  Hello, I am name age years old.
  Enter your height: height
  Wow! You're height feet tall.

Hint:
Use cin >> and put the variable height before ;","/*
    int num = 4;
    double decimal = 2.99;
    char letter = 'a';
    string text = ""Codemania is awesome!"";
    bool boolean = true
*/
#include <iostream>
using namespace std;
int main() {
    // PUT YOUT CODE HERE

    
    return 0;
}","{""objectives"":[{""id"":""declare_string_name"",""type"":""code_regex"",""label"":""Declare a string variable named name"",""value"":""string\\s+name\\s*=""},{""id"":""declare_int_age"",""type"":""code_regex"",""label"":""Declare an int variable named age"",""value"":""int\\s+age\\s*=""},{""id"":""declare_double_height"",""type"":""code_regex"",""label"":""Declare a double variable named height"",""value"":""double\\s+height""},{""id"":""uses_cin_for_height"",""type"":""code_contains"",""label"":""Use cin to receive user input for height"",""value"":""cin >> height""},{""id"":""prompt_height_message"",""type"":""code_regex"",""label"":""Print 'Enter your height:' before input"",""value"":""cout\\s*<<\\s*\""Enter your height:\""""},{""id"":""prints_intro_message"",""type"":""code_regex"",""label"":""Print formatted introduction using name and age"",""value"":""cout\\s*<<\\s*\""Hello, I am\""[\\s\\S]*name[\\s\\S]*age""},{""id"":""prints_final_message"",""type"":""code_regex"",""label"":""Print final height message"",""value"":""cout\\s*<<[\\s\\S]*height[\\s\\S]*feet tall""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,,2,,,5,map5,"[{""text"":""Incoming data needs a place to stay."",""speaker"":""npc""},{""text"":""A container with a name."",""speaker"":""npc""},{""text"":""A space in memory."",""speaker"":""npc""},{""text"":""These are variables."",""speaker"":""npc""},{""text"":""Store wisely."",""speaker"":""npc""}]",,cli,"{""concept"":""Different C++ types store different kinds of data."",""structure"":""Declare string name, int age, and double height; ask for height input; print intro and final sentence."",""nearSolution"":""Print prompt Enter your height:, then output message containing name, age, and height ... feet tall.""}"
22,Data Types,multi_objective,100,💻 C++ (Data Types),"Choosing the right data type matters.
For numbers, the two most commonly used are:
  int - integers, stores whole numbers only no decimals.
    int age = 20;
    int score = 100;
    int temperature = -5;

  double - stores numbers with decimals.
    double price = 19.99;
    double height = 5.9;
    double pi = 3.14159;

Here's an example of comparison.
Try it:
  int a = 5;
  int b = 2;

  cout << a / b;   

The output will be 2.
Now change them to double:
  double a = 5;
  double b = 2;

  cout << a / b;
The output will be 2.5
Notice the difference of the output.

Same numbers.
Different data types.
Different result.

Why?
Because int removes the decimal part.

Data types define what kind of data a variable can store and how much memory it uses. Choosing the correct data type is important for accuracy and performance. Common data types in C++ include int for integers, double for decimal values, bool for true or false values, and string for text.","Write a program that:
  Creates two int variables: 10 and 3
  Prints the result of dividing them
  Then changes both variables to double
  Prints the result again",22,"Write a program that:
  Creates two int variables: 10 and 3.
  Prints the result of dividing them.
  Then changes both variables to double.
  Prints the result again.",// PUT YOUR CODE BELOW,"{""objectives"":[{""id"":""declare_int_variables"",""type"":""code_regex"",""label"":""Declare two int variables with values 10 and 3"",""value"":""int\\s+\\w+\\s*=\\s*10\\s*;[\\s\\S]*int\\s+\\w+\\s*=\\s*3""},{""id"":""print_int_division"",""type"":""code_regex"",""label"":""Print the division of the int variables using cout"",""value"":""cout\\s*<<[\\s\\S]*/[\\s\\S]*;""},{""id"":""declare_double_variables"",""type"":""code_regex"",""label"":""Declare two double variables with values 10 and 3"",""value"":""double\\s+\\w+\\s*=\\s*10\\s*;[\\s\\S]*double\\s+\\w+\\s*=\\s*3""},{""id"":""print_double_division"",""type"":""code_regex"",""label"":""Print the division of the double variables using cout"",""value"":""cout\\s*<<[\\s\\S]*/[\\s\\S]*;""},{""id"":""uses_cout"",""type"":""code_contains"",""label"":""Use cout to display results"",""value"":""cout""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,,2,,,6,map6,"[{""text"":""But memory is precise."",""speaker"":""npc""},{""text"":""Numbers are not characters."",""speaker"":""npc""},{""text"":""Truth is not a decimal."",""speaker"":""npc""},{""text"":""Every variable has a type."",""speaker"":""npc""},{""text"":""Choose correctly."",""speaker"":""npc""}]",,cli,"{""concept"":""Integer and floating-point division behave differently."",""structure"":""Create int pair (10,3) and double pair (10,3), divide both, print both results."",""nearSolution"":""Use separate divisions so int division truncates while double division keeps decimals.""}"
23,Constants,multi_objective,100,💻 C++ (Constants),"So far, you’ve learned int and double.
Now let’s complete the foundation with:
  const - a constant is a variable whose value cannot be changed after it is created. You use the keyword const.
    const double PI = 3.14159;
    const int DAYS_IN_WEEK = 7;
  char - stores a single character.
    char grade = 'A';
    char letter = 'Z';
  string - tores text.
    string name = ""John"";
    string message = ""Hello World"";
  bool - tores only two values: true or false.
    bool isLoggedIn = true;
    bool isFinished = false;

Congratulations! You've already learned Basic Data Types.

Let's dive right away to a Practice Challenge.
Shall we. Gyahahaha!","Create a small program that:
  Declares a const integer for the year of your birth
  Stores the first letter of your name in a char
  Stores your full name in a string
  Creates a bool variable called isStudent

Then print them all.

Simple — but powerful.",23,"Create a small program that:
  Declares a const integer for the year of your birth
  Stores the first letter of your name in a char
  Stores your full name in a string
  Creates a bool variable called isStudent

Then print them all.

Simple — but powerful.","#include <iostream>
using namespace std;
int main() {
    // PUT YOUR CODE BELOW

    
    return 0;
}","{""objectives"":[{""id"":""declare_const_int"",""type"":""code_regex"",""label"":""Declare a const int for birth year"",""value"":""const\\s+int\\s+\\w+\\s*=\\s*\\d+""},{""id"":""declare_char"",""type"":""code_regex"",""label"":""Declare a char variable"",""value"":""char\\s+\\w+\\s*=\\s*'.'""},{""id"":""declare_string"",""type"":""code_regex"",""label"":""Declare a string variable"",""value"":""string\\s+\\w+\\s*=\\s*\"".+\""""},{""id"":""declare_bool_isStudent"",""type"":""code_regex"",""label"":""Declare a bool variable named isStudent"",""value"":""bool\\s+isStudent\\s*=\\s*(true|false)""},{""id"":""print_variables"",""type"":""code_contains"",""label"":""Use cout to print the variables"",""value"":""cout""}],""validation_mode"":""multi_objective""}",,2026-02-15 16:03:03.011065+00,,2,,,7,map7,"[{""text"":""Some values must never change."",""speaker"":""npc""},{""text"":""They are pillars of the system."",""speaker"":""npc""},{""text"":""Immutable. Fixed."",""speaker"":""npc""},{""text"":""Declare them as constants."",""speaker"":""npc""},{""text"":""Protect what matters."",""speaker"":""npc""}]",,cli,"{""concept"":""C++ supports constants and multiple primitive data types."",""structure"":""Declare a const int, a char, a string, and bool isStudent, then print them with cout."",""nearSolution"":""Ensure isStudent name is exact and bool value is true or false.""}"
